id,name,species,gender,height,weight,hair_color,eye_color,skin_color,year_born,homeworld,year_died,description
69,Cassian Andor,Human,Male,1.84,75.0,Brown,Brown,Light,26,Fest,0,A Rebel intelligence officer.
70,Orson Krennic,Human,Male,1.85,80.0,White,Blue,Light,51,Lexrul,0,The director of the Empire's Advanced Weapons Research division.
71,Bodhi Rook,Human,Male,1.8,75.0,Black,Brown,Dark,25,Jedha,0,A former Imperial pilot who defected to the Rebel Alliance.
72,Chirrut Îmwe,Human,Male,1.75,70.0,Black,Brown,Light,52,Jedha,0,A blind warrior monk and follower of the Force.
73,Baze Malbus,Human,Male,1.85,95.0,Black,Brown,Light,52,Jedha,0,A former Guardian of the Whills and companion to Chirrut Îmwe.
74,Galen Erso,Human,Male,1.83,75.0,Brown,Brown,Light,54,Grange,0,A scientist and father of Jyn Erso.
75,Saw Gerrera,Human,Male,1.78,75.0,Black,Brown,Dark,48,Onderon,0,A militant leader in the Rebel Alliance.
76,Hera Syndulla,Twi'lek,Female,1.78,55.0,Green,Blue,Green,29,Ryloth,,A skilled pilot and leader of the Ghost crew.
77,Kanan Jarrus,Human,Male,1.91,86.0,Brown,Blue,Light,32,Coruscant,2,A Jedi Knight and member of the Ghost crew.
78,Ezra Bridger,Human,Male,1.75,70.0,Blue,Black,Light,18,Lothal,,A Jedi Padawan and member of the Ghost crew.
79,Sabine Wren,Human,Female,1.65,50.0,Varied,Brown,Light,21,Mandalore,,A Mandalorian artist and warrior.
80,Grand Admiral Thrawn,Chiss,Male,1.95,85.0,Blue-Black,Red,Blue,50,Csilla,,A brilliant tactician and leader in the Imperial Navy.
81,Jyn Erso,Human,Female,1.7,60.0,Brown,Green,Light,22,Vallt,0,The protagonist of Rogue One and a member of the Rebel Alliance.
82,Cassian Andor,Human,Male,1.84,75.0,Brown,Brown,Light,26,Fest,0,A Rebel intelligence officer.
83,Orson Krennic,Human,Male,1.85,80.0,White,Blue,Light,51,Lexrul,0,The director of the Empire's Advanced Weapons Research division.
84,Bodhi Rook,Human,Male,1.8,75.0,Black,Brown,Dark,25,Jedha,0,A former Imperial pilot who defected to the Rebel Alliance.
85,Chirrut Îmwe,Human,Male,1.75,70.0,Black,Brown,Light,52,Jedha,0,A blind warrior monk and follower of the Force.
86,Baze Malbus,Human,Male,1.85,95.0,Black,Brown,Light,52,Jedha,0,A former Guardian of the Whills and companion to Chirrut Îmwe.
87,Galen Erso,Human,Male,1.83,75.0,Brown,Brown,Light,54,Grange,0,A scientist and father of Jyn Erso.
88,Saw Gerrera,Human,Male,1.78,75.0,Black,Brown,Dark,48,Onderon,0,A militant leader in the Rebel Alliance.
89,Admiral Raddus,Mon Calamari,Male,1.8,72.0,None,Orange,Blue,50,Mon Cala,0,A respected admiral in the Rebel Alliance.
90,Dryden Vos,Human,Male,1.85,80.0,Blond,Blue,Light,35,Corellia,10,A crime lord in the Crimson Dawn syndicate.
91,Qi'ra,Human,Female,1.7,50.0,Brown,Brown,Light,21,Corellia,,A member of the Crimson Dawn syndicate.
92,Enfys Nest,Human,Female,1.68,55.0,Red,Brown,Light,19,Unknown,,A rebel and leader of the Cloud-Riders.
93,L3-37,Droid,None,1.8,,None,Green,Gray,,Unknown,10,A self-built piloting droid.
94,Beckett,Human,Male,1.85,80.0,Brown,Blue,Light,50,Glee Anselm,10,A criminal and mentor to Han Solo.
95,Val,Human,Female,1.75,55.0,Black,Brown,Dark,30,Unknown,10,A member of Beckett's crew.
96,Rio Durant,Ardennian,Male,1.4,40.0,None,Black,Blue,40,Ardennia,10,A four-armed pilot in Beckett's crew.
